QQQE,Date
16.854902267456055,2012-12-28 00:00:00-05:00
16.779735565185547,2012-12-31 00:00:00-05:00
17.566770553588867,2013-01-02 00:00:00-05:00
17.61098861694336,2013-01-03 00:00:00-05:00
17.641939163208008,2013-01-04 00:00:00-05:00
17.6463565826416,2013-01-07 00:00:00-05:00
17.6463565826416,2013-01-08 00:00:00-05:00
17.6463565826416,2013-01-09 00:00:00-05:00
17.6463565826416,2013-01-10 00:00:00-05:00
17.801111221313477,2013-01-11 00:00:00-05:00
17.871856689453125,2013-01-14 00:00:00-05:00
17.871856689453125,2013-01-15 00:00:00-05:00
17.871856689453125,2013-01-16 00:00:00-05:00
18.035446166992188,2013-01-17 00:00:00-05:00
18.048721313476562,2013-01-18 00:00:00-05:00
18.057558059692383,2013-01-22 00:00:00-05:00
18.1061954498291,2013-01-23 00:00:00-05:00
18.15925407409668,2013-01-24 00:00:00-05:00
18.35822296142578,2013-01-25 00:00:00-05:00
18.411283493041992,2013-01-28 00:00:00-05:00
18.30075454711914,2013-01-29 00:00:00-05:00
18.260950088500977,2013-01-30 00:00:00-05:00
18.278640747070312,2013-01-31 00:00:00-05:00
18.508556365966797,2013-02-01 00:00:00-05:00
18.291900634765625,2013-02-04 00:00:00-05:00
18.482025146484375,2013-02-05 00:00:00-05:00
18.42455291748047,2013-02-06 00:00:00-05:00
18.371490478515625,2013-02-07 00:00:00-05:00
18.526247024536133,2013-02-08 00:00:00-05:00
18.557199478149414,2013-02-11 00:00:00-05:00
18.52181625366211,2013-02-12 00:00:00-05:00
18.530668258666992,2013-02-13 00:00:00-05:00
18.530668258666992,2013-02-14 00:00:00-05:00
18.54834747314453,2013-02-15 00:00:00-05:00
18.614669799804688,2013-02-19 00:00:00-05:00
18.344959259033203,2013-02-20 00:00:00-05:00
18.141572952270508,2013-02-21 00:00:00-05:00
18.23884391784668,2013-02-22 00:00:00-05:00
18.035446166992188,2013-02-25 00:00:00-05:00
18.07524871826172,2013-02-26 00:00:00-05:00
18.371490478515625,2013-02-27 00:00:00-05:00
18.375911712646484,2013-02-28 00:00:00-05:00
18.4466552734375,2013-03-01 00:00:00-05:00
18.552778244018555,2013-03-04 00:00:00-05:00
18.778268814086914,2013-03-05 00:00:00-05:00
18.809223175048828,2013-03-06 00:00:00-05:00
18.809223175048828,2013-03-07 00:00:00-05:00
18.88880729675293,2013-03-08 00:00:00-05:00
18.93744659423828,2013-03-11 00:00:00-04:00
18.933027267456055,2013-03-12 00:00:00-04:00
18.96839714050293,2013-03-13 00:00:00-04:00
19.030298233032227,2013-03-14 00:00:00-04:00
18.89322853088379,2013-03-15 00:00:00-04:00
18.756166458129883,2013-03-18 00:00:00-04:00
18.72917938232422,2013-03-19 00:00:00-04:00
18.915006637573242,2013-03-20 00:00:00-04:00
18.80438995361328,2013-03-21 00:00:00-04:00
18.80438995361328,2013-03-22 00:00:00-04:00
18.808820724487305,2013-03-25 00:00:00-04:00
18.94597625732422,2013-03-26 00:00:00-04:00
19.034475326538086,2013-03-27 00:00:00-04:00
19.087566375732422,2013-03-28 00:00:00-04:00
18.97252655029297,2013-04-01 00:00:00-04:00
19.07428741455078,2013-04-02 00:00:00-04:00
18.879615783691406,2013-04-03 00:00:00-04:00
18.928274154663086,2013-04-04 00:00:00-04:00
18.80438995361328,2013-04-05 00:00:00-04:00
18.89730453491211,2013-04-08 00:00:00-04:00
19.003496170043945,2013-04-09 00:00:00-04:00
19.35303497314453,2013-04-10 00:00:00-04:00
19.441539764404297,2013-04-11 00:00:00-04:00
19.40171241760254,2013-04-12 00:00:00-04:00
18.963680267333984,2013-04-15 00:00:00-04:00
19.21587371826172,2013-04-16 00:00:00-04:00
18.853057861328125,2013-04-17 00:00:00-04:00
18.81766128540039,2013-04-18 00:00:00-04:00
18.892885208129883,2013-04-19 00:00:00-04:00
18.950407028198242,2013-04-22 00:00:00-04:00
19.140663146972656,2013-04-23 00:00:00-04:00
19.295516967773438,2013-04-24 00:00:00-04:00
19.295516967773438,2013-04-25 00:00:00-04:00
19.313220977783203,2013-04-26 00:00:00-04:00
19.428253173828125,2013-04-29 00:00:00-04:00
19.326488494873047,2013-04-30 00:00:00-04:00
19.357460021972656,2013-05-01 00:00:00-04:00
19.574268341064453,2013-05-02 00:00:00-04:00
19.848588943481445,2013-05-03 00:00:00-04:00
19.875137329101562,2013-05-06 00:00:00-04:00
19.941503524780273,2013-05-07 00:00:00-04:00
20.003446578979492,2013-05-08 00:00:00-04:00
19.981325149536133,2013-05-09 00:00:00-04:00
20.20255470275879,2013-05-10 00:00:00-04:00
20.136184692382812,2013-05-13 00:00:00-04:00
20.286623001098633,2013-05-14 00:00:00-04:00
20.379539489746094,2013-05-15 00:00:00-04:00
20.28219985961914,2013-05-16 00:00:00-04:00
20.388385772705078,2013-05-17 00:00:00-04:00
20.37511444091797,2013-05-20 00:00:00-04:00
20.450334548950195,2013-05-21 00:00:00-04:00
20.211408615112305,2013-05-22 00:00:00-04:00
20.23352813720703,2013-05-23 00:00:00-04:00
20.091943740844727,2013-05-24 00:00:00-04:00
20.348562240600586,2013-05-28 00:00:00-04:00
20.193702697753906,2013-05-29 00:00:00-04:00
20.322021484375,2013-05-30 00:00:00-04:00
20.189281463623047,2013-05-31 00:00:00-04:00
19.94593048095703,2013-06-03 00:00:00-04:00
20.0698184967041,2013-06-04 00:00:00-04:00
19.729124069213867,2013-06-05 00:00:00-04:00
19.826459884643555,2013-06-06 00:00:00-04:00
20.171581268310547,2013-06-07 00:00:00-04:00
20.149459838867188,2013-06-10 00:00:00-04:00
20.02999496459961,2013-06-11 00:00:00-04:00
19.729124069213867,2013-06-12 00:00:00-04:00
20.025569915771484,2013-06-13 00:00:00-04:00
20.025569915771484,2013-06-14 00:00:00-04:00
20.096370697021484,2013-06-17 00:00:00-04:00
20.29854965209961,2013-06-18 00:00:00-04:00
20.258647918701172,2013-06-19 00:00:00-04:00
19.549209594726562,2013-06-20 00:00:00-04:00
19.527042388916016,2013-06-21 00:00:00-04:00
19.358558654785156,2013-06-24 00:00:00-04:00
19.473838806152344,2013-06-25 00:00:00-04:00
19.686670303344727,2013-06-26 00:00:00-04:00
19.912803649902344,2013-06-27 00:00:00-04:00
19.912803649902344,2013-06-28 00:00:00-04:00
19.970441818237305,2013-07-01 00:00:00-04:00
19.92609977722168,2013-07-02 00:00:00-04:00
19.92609977722168,2013-07-03 00:00:00-04:00
20.152236938476562,2013-07-05 00:00:00-04:00
20.183271408081055,2013-07-08 00:00:00-04:00
20.356191635131836,2013-07-09 00:00:00-04:00
20.418270111083984,2013-07-10 00:00:00-04:00
20.826187133789062,2013-07-11 00:00:00-04:00
20.901565551757812,2013-07-12 00:00:00-04:00
21.034578323364258,2013-07-15 00:00:00-04:00
20.994672775268555,2013-07-16 00:00:00-04:00
21.021284103393555,2013-07-17 00:00:00-04:00
21.092227935791016,2013-07-18 00:00:00-04:00
21.087793350219727,2013-07-19 00:00:00-04:00
21.127695083618164,2013-07-22 00:00:00-04:00
21.04788589477539,2013-07-23 00:00:00-04:00
20.839494705200195,2013-07-24 00:00:00-04:00
21.078920364379883,2013-07-25 00:00:00-04:00
21.007986068725586,2013-07-26 00:00:00-04:00
20.985815048217773,2013-07-29 00:00:00-04:00
21.05232048034668,2013-07-30 00:00:00-04:00
21.22524642944336,2013-07-31 00:00:00-04:00
21.50901222229004,2013-08-01 00:00:00-04:00
21.49571418762207,2013-08-02 00:00:00-04:00
21.517885208129883,2013-08-05 00:00:00-04:00
21.42034149169922,2013-08-06 00:00:00-04:00
21.35382080078125,2013-08-07 00:00:00-04:00
21.464675903320312,2013-08-08 00:00:00-04:00
21.477977752685547,2013-08-09 00:00:00-04:00
21.429203033447266,2013-08-12 00:00:00-04:00
21.504579544067383,2013-08-13 00:00:00-04:00
21.34052848815918,2013-08-14 00:00:00-04:00
20.92373275756836,2013-08-15 00:00:00-04:00
20.994672775268555,2013-08-16 00:00:00-04:00
20.790721893310547,2013-08-19 00:00:00-04:00
21.007986068725586,2013-08-20 00:00:00-04:00
